asset,aic,bic,lb_resid_pvalue,lb_resid2_pvalue
AAPL,9395.48068736159,9418.800799691726,0.04831868052879361,0.9372979049691371
GLD,6233.338354317915,6256.65846664805,0.25945516078121583,0.5710528691396732
QQQ,7810.099394953724,7833.419507283859,0.7065696182894776,0.3547070900250835
SPY,6341.655227003881,6364.975339334016,0.830061531975921,0.4629996094925468
TLT,6482.635798951549,6505.955911281684,0.7892899155755578,0.700646648334599
