asset,statistic,pvalue,used_lag,nobs,crit_1%,crit_5%,crit_10%,icbest
SPY,-15.723686172487547,1.314608869960084e-28,9,2505,-3.4329631791044304,-2.8626944896608433,-2.5673845793841457,-15447.453752811547
QQQ,-16.235193910046956,3.7761599448861776e-29,9,2505,-3.4329631791044304,-2.8626944896608433,-2.5673845793841457,-14329.297729133046
TLT,-9.53751144737413,2.783067813507983e-16,24,2490,-3.4329789374204935,-2.8627014485379787,-2.5673882843825098,-16074.242115484594
GLD,-28.498759810673757,0.0,2,2512,-3.432955889694659,-2.8626912706428715,-2.567382865538409,-16452.331429551326
AAPL,-15.54945536287014,2.1091593676494223e-28,8,2506,-3.432962135264372,-2.862694028699462,-2.567384333962417,-12998.534534204939
