,VaR_param,ES_param,VaR_hist,ES_hist
2017-12-26,0.00910789483268192,0.010514279381164346,0.01069028147102523,0.01246220925834951
2017-12-27,0.010215276451283515,0.011782967211639142,0.01069028147102523,0.01246220925834951
2017-12-28,0.009758857438799031,0.011260064142805818,0.01069028147102523,0.01246220925834951
2017-12-29,0.009380651654368364,0.010826767194344377,0.01069028147102523,0.01246220925834951
2018-01-02,0.00944699471777637,0.010902774088235612,0.01069028147102523,0.01246220925834951
2018-01-03,0.010908940190931471,0.012577673146928477,0.01069028147102523,0.01246220925834951
2018-01-04,0.010798794384948022,0.01245148300499213,0.01069028147102523,0.01246220925834951
2018-01-05,0.010447176499938727,0.012048646869557708,0.01069028147102523,0.01246220925834951
2018-01-08,0.010698465528378467,0.012336539793693403,0.01069028147102523,0.01246220925834951
2018-01-09,0.010269644695474527,0.01184525498002067,0.01069028147102523,0.01246220925834951
2018-01-10,0.009863576418159816,0.01138003696202467,0.01069028147102523,0.01246220925834951
2018-01-11,0.009485165936264963,0.01094650549894119,0.01069028147102523,0.01246220925834951
2018-01-12,0.009604808888240689,0.01108357618408166,0.01069028147102523,0.01246220925834951
2018-01-16,0.009881007171190139,0.011400006757327493,0.01069028147102523,0.01246220925834951
2018-01-17,0.009589282016697839,0.011065787598249222,0.01069028147102523,0.01246220925834951
2018-01-18,0.01049394795869147,0.012102231270396955,0.01069028147102523,0.01246220925834951
2018-01-19,0.010027018620907687,0.011567286894775106,0.01069028147102523,0.01246220925834951
2018-01-22,0.009756157160202943,0.011256970529424305,0.01069028147102523,0.01246220925834951
2018-01-23,0.010099431831321745,0.011650248140722045,0.01069028147102523,0.01246220925834951
2018-01-24,0.009907043019518601,0.011429835105004168,0.01069028147102523,0.01246220925834951
2018-01-25,0.010154135596925826,0.01171292030408221,0.01069028147102523,0.01246220925834951
2018-01-26,0.010344081332800336,0.011930534394389113,0.01069028147102523,0.01246220925834951
2018-01-29,0.011090673926080999,0.012785879039366977,0.01069028147102523,0.01246220925834951
2018-01-30,0.011665453506328185,0.01344438361124697,0.01069028147102523,0.01246220925834951
2018-01-31,0.011898695304657935,0.013711600464162307,0.01069028147102523,0.01246220925834951
2018-02-01,0.011340322707805224,0.013071892791036748,0.01069028147102523,0.01246220925834951
2018-02-02,0.01100636815066525,0.012689292903646421,0.01069028147102523,0.01246220925834951
2018-02-05,0.01664625148075686,0.019150707131580385,0.010986736297803446,0.01609881726875025
2018-02-06,0.024003385397312484,0.02757951442828662,0.013287237172328863,0.018829488883054423
2018-02-07,0.026279291204263824,0.030186938962055137,0.013287237172328863,0.018829488883054423
2018-02-08,0.02502761518015575,0.02875293815076453,0.013287237172328863,0.018829488883054423
2018-02-09,0.02982451945277075,0.03424858118148806,0.01737825224992693,0.020945058321270072
2018-02-12,0.02816631405626608,0.032348834091925814,0.01737825224992693,0.020945058321270072
2018-02-13,0.028683331394017197,0.03294116251198541,0.01737825224992693,0.020945058321270072
2018-02-14,0.026312803589362894,0.030225332912641983,0.01737825224992693,0.020945058321270072
2018-02-15,0.025511543077108963,0.029307357172517038,0.01737825224992693,0.020945058321270072
2018-02-16,0.025767758997300435,0.02960089466172632,0.01737825224992693,0.020945058321270072
2018-02-20,0.02358512932040595,0.02710033328072203,0.01737825224992693,0.020945058321270072
2018-02-21,0.02175277152527651,0.025001065966991493,0.01737825224992693,0.020945058321270072
2018-02-22,0.02007767058096732,0.023081962247764518,0.01737825224992693,0.020945058321270072
2018-02-23,0.018488530567738113,0.021261340917377605,0.01737825224992693,0.020945058321270072
2018-02-26,0.01942619086441928,0.02233558505104943,0.01737825224992693,0.020945058321270072
2018-02-27,0.019393760993466663,0.022298431298512517,0.01737825224992693,0.020945058321270072
2018-02-28,0.0188142713285623,0.021634530549754845,0.01737825224992693,0.020945058321270072
2018-03-01,0.017738225792118447,0.020401743356802362,0.01737825224992693,0.020945058321270072
2018-03-02,0.018328758088001492,0.02107829525607919,0.01737825224992693,0.020945058321270072
2018-03-05,0.017283428712978804,0.01988069847945594,0.01737825224992693,0.020945058321270072
2018-03-06,0.016731210360079924,0.01924804150527539,0.01737825224992693,0.020945058321270072
2018-03-07,0.015578214136789519,0.017927094640617154,0.01737825224992693,0.020945058321270072
2018-03-08,0.014688671785577152,0.016907977529841738,0.01737825224992693,0.020945058321270072
2018-03-09,0.014135317703691487,0.01627401939125675,0.01737825224992693,0.020945058321270072
2018-03-12,0.015983409484384616,0.018391312574004993,0.01737825224992693,0.020945058321270072
2018-03-13,0.015138590764735756,0.01742343374111512,0.01737825224992693,0.020945058321270072
2018-03-14,0.0148624344832512,0.0171070512874574,0.01737825224992693,0.020945058321270072
2018-03-15,0.014137912211758825,0.016276991827096216,0.01737825224992693,0.020945058321270072
2018-03-16,0.0132461205845659,0.015255297800634301,0.01737825224992693,0.020945058321270072
2018-03-19,0.012483943031386517,0.014382098020055656,0.01737825224992693,0.020945058321270072
2018-03-20,0.014441892619759443,0.01662525139530194,0.01737825224992693,0.020945058321270072
2018-03-21,0.013574483975894867,0.015631492087729806,0.01737825224992693,0.020945058321270072
2018-03-22,0.013960778932693978,0.016074056513969516,0.01737825224992693,0.020945058321270072
2018-03-23,0.01721030892492434,0.019796927732575798,0.01737825224992693,0.020945058321270072
2018-03-26,0.019768124267234757,0.022727326018840324,0.01737825224992693,0.020945058321270072
2018-03-27,0.026013825870531568,0.029882804747921852,0.01737825224992693,0.020945058321270072
2018-03-28,0.02719167885219975,0.031232229118734425,0.01737825224992693,0.020945058321270072
