,portfolio_return
2016-12-28,-0.00206836311155385
2016-12-29,0.0029379496965040277
2016-12-30,-0.0052977787397433754
2017-01-03,0.0062921175601808885
2017-01-04,0.0035191018618356833
2017-01-05,0.008169614466080244
2017-01-06,0.001353105084944861
2017-01-09,0.005055865412169159
2017-01-10,0.0013614595352124505
2017-01-11,0.003463737922261157
2017-01-12,-0.0013700442106268087
2017-01-13,0.0003613491461252671
2017-01-17,0.005233102841675486
2017-01-18,-0.0034455741479841426
2017-01-19,-0.0027409082020860786
2017-01-20,0.0016267141384942007
2017-01-23,0.0030477432020377115
2017-01-24,0.00016081645855638987
2017-01-25,0.0027048351817612116
2017-01-26,-0.001094488238305491
2017-01-27,0.0012100153248119307
2017-01-30,-0.003092515131361662
2017-01-31,0.0032610829491564355
2017-02-01,0.011446725385326052
2017-02-02,0.0006382544313982663
2017-02-03,0.003217670231157488
2017-02-06,0.005638902371339328
2017-02-07,0.0036895387485792242
2017-02-08,0.005308584694232277
2017-02-09,-0.0005000123138896306
2017-02-10,0.0014064947453290345
2017-02-13,0.0019806897767194803
2017-02-14,0.0028187223589447364
2017-02-15,0.0029096302273606154
2017-02-16,0.0016913802378889287
2017-02-17,0.002230683698671321
2017-02-21,0.0033796973095783227
2017-02-22,0.0011020588055334459
2017-02-23,0.0008723439902976084
2017-02-24,0.0043108340139424335
2017-02-27,-0.0012026463514924759
2017-02-28,-0.00014197644200244505
2017-03-01,0.005334144435759214
2017-03-02,-0.006684109605204203
2017-03-03,0.0020703787158899093
2017-03-06,-0.003976871803493065
2017-03-07,-0.002901087624700693
2017-03-08,-0.0030978043912130108
2017-03-09,-0.002685310335366253
2017-03-10,0.0033377123600550895
2017-03-13,-0.000709730247765794
2017-03-14,-0.0016801063260804662
2017-03-15,0.011184301555745702
2017-03-16,-0.0003941540967669077
2017-03-17,0.00027725884103855267
2017-03-20,0.0037970119243743387
2017-03-21,-0.0045458894700976405
2017-03-22,0.0053544572006067
2017-03-23,-0.0019788949873159826
2017-03-24,0.000903318482058424
2017-03-27,0.002489170722342937
2017-03-28,0.004611935319954607
2017-03-29,0.003233074505872935
2017-03-30,-0.00236407339322513
2017-03-31,2.4703278011539676e-05
2017-04-03,0.002652556579862253
2017-04-04,0.0012923204014144932
2017-04-05,-0.001840238282586881
2017-04-06,-0.0008669158407550448
2017-04-07,-0.0010969645203754653
2017-04-10,0.0008831652313642912
2017-04-11,0.0014968856448322574
2017-04-12,0.001010274646189746
2017-04-13,-0.001594937927107676
2017-04-17,0.0033120889514595578
2017-04-18,0.0017530058930149473
2017-04-19,-0.0036627250123766335
2017-04-20,0.005376178771949559
2017-04-21,-0.0003493841453107826
2017-04-24,0.004151806258100254
2017-04-25,-0.0006211255747341935
2017-04-26,0.0004921402565369881
2017-04-27,0.000706164523704178
2017-04-28,0.0007941074394302917
2017-05-01,0.0028138379622263624
2017-05-02,0.0026635076414907926
2017-05-03,-0.004175195650043939
2017-05-04,-0.003429843194977611
2017-05-05,0.005361504421015529
2017-05-08,0.004231402045797949
2017-05-09,0.0005692501943870276
2017-05-10,-0.0007255583357204999
2017-05-11,0.0019455329667357193
2017-05-12,0.004957914010342712
2017-05-15,0.0012079299246547494
2017-05-16,0.001964665444402147
2017-05-17,-0.009064503485956887
2017-05-18,0.004154834638968996
2017-05-19,0.004280538968889315
2017-05-22,0.004186117475656381
2017-05-23,-0.002225493378209276
2017-05-24,0.0026951406970500357
2017-05-25,0.0031865594935060137
2017-05-26,0.0020818006156900996
2017-05-30,0.00039490469491942903
2017-05-31,-1.1853000457406936e-05
2017-06-01,0.00309709965012539
2017-06-02,0.009701271821318969
2017-06-05,-0.003203046435587709
2017-06-06,0.002562380447326263
2017-06-07,0.0003227270258681081
2017-06-08,-0.0020221243216988153
2017-06-09,-0.015416593233368128
2017-06-12,-0.0063160374141095765
2017-06-13,0.004426447759480823
2017-06-14,-0.0011202121260059702
2017-06-15,-0.0036301358090244486
2017-06-16,-0.00321590308165014
2017-06-19,0.008799817161494606
2017-06-20,-0.0033911790788808465
2017-06-21,0.004086639227381905
2017-06-22,0.000635415816149898
2017-06-23,0.002657732466519214
2017-06-26,-0.002485213558573385
2017-06-27,-0.009555037846911585
2017-06-28,0.007034384921717507
2017-06-29,-0.010899065922678109
2017-06-30,-5.275299378473255e-05
2017-07-03,-0.00644533868061199
2017-07-05,0.004028446630313277
2017-07-06,-0.007292931412202198
2017-07-07,0.002203673921234906
2017-07-10,0.003356587420514945
2017-07-11,0.0016612854648680123
2017-07-12,0.006228906830625913
2017-07-13,0.0019178365873892215
2017-07-14,0.006087509716138051
2017-07-17,0.0022098840152842136
2017-07-18,0.005264192208567487
2017-07-19,0.003528201862974001
2017-07-20,0.00029709250322182965
2017-07-21,0.002208627257768558
2017-07-24,0.0025756482549812
2017-07-25,-0.002448942263878529
2017-07-26,0.0035298974895733083
2017-07-27,-0.00640030837930281
2017-07-28,0.0008643622605148948
2017-07-31,-0.001654771486470352
2017-08-01,0.003906401032361196
2017-08-02,0.009570780660812517
2017-08-03,-0.0008027631195008491
2017-08-04,-0.0014929212762746504
2017-08-07,0.004695526662665462
2017-08-08,0.0006180019453593035
2017-08-09,0.004442367637164768
2017-08-10,-0.010472975205019174
2017-08-11,0.005610984763557614
2017-08-14,0.005066669768114719
2017-08-15,-0.00010031510592369832
2017-08-16,0.0020883853256839836
2017-08-17,-0.008646513274975655
2017-08-18,-0.0012690260281058132
2017-08-21,0.0007727545635128231
2017-08-22,0.006677563317632362
2017-08-23,0.0009254854606819407
2017-08-24,-0.003306177141561495
2017-08-25,0.002289921037116205
2017-08-28,0.005657881349690986
2017-08-29,0.0029993302142694135
2017-08-30,0.0036621234205583162
2017-08-31,0.0070544330547682495
2017-09-01,-0.0010846269159376478
2017-09-05,-0.0003048487020969933
2017-09-06,-0.0011744640516869965
2017-09-07,0.003747257176558261
2017-09-08,-0.005947179841821005
2017-09-11,0.0027936948084548163
2017-09-12,-0.0001103221321051784
2017-09-13,-0.003438101150709638
2017-09-14,-0.00127006499135609
2017-09-15,0.002043980811585122
2017-09-18,-0.004383679968119747
2017-09-19,0.0005443563226502412
2017-09-20,-0.005394583485424764
2017-09-21,-0.006867043281435503
2017-09-22,-0.0006368476918558129
2017-09-25,-0.0009685810054402388
2017-09-26,0.0014418436432865884
2017-09-27,-0.000939539805763623
2017-09-28,-0.001281902198878804
2017-09-29,0.0026455103950607578
2017-10-02,-0.0010614865680491194
2017-10-03,0.0020145818342938602
