,AAPL,GLD,QQQ,SPY,TLT
2016-12-28,0.011396384020583605,0.008750086078640622,0.007163847354905619,0.005214234126089655,0.007491764465495225
2016-12-29,0.01122292332278816,0.008665309473951041,0.0075613287169366316,0.006290737489113376,0.007493658436684964
2016-12-30,0.01091273097975691,0.008831405237493463,0.007280911102148657,0.005873288810660392,0.007456851761682226
2017-01-03,0.011139303498641489,0.008792006514872486,0.008071108690695257,0.005779636730471957,0.007406810737033529
2017-01-04,0.010879006461662519,0.00878734030624682,0.00841741986838842,0.006460629646317286,0.007373749690784284
2017-01-05,0.010574821850821344,0.008711039716551522,0.008259540430277258,0.006581087824774837,0.007335785700431108
2017-01-06,0.010520895921668787,0.008960110665086932,0.00815104773375163,0.006122200090363997,0.007481714527616787
2017-01-09,0.011276501822324661,0.008938654192728141,0.008445467248587805,0.005960915387154001,0.007510495795579211
2017-01-10,0.011530378749491083,0.008935119036712477,0.008120807730308169,0.005802361206005749,0.007521425265214333
2017-01-11,0.011104709784608938,0.00886536852986793,0.007794829322545438,0.005475210078691494,0.007473976724796446
2017-01-12,0.01095998790624682,0.008785064890608228,0.007536496552222297,0.005361636433190173,0.0074365329818554425
2017-01-13,0.010738949516338676,0.008710926032953504,0.007263263738302489,0.005235687207558039,0.007391081824178961
2017-01-17,0.01041061136217904,0.008627923108217994,0.007120934490030318,0.00510944723335262,0.007363339297378587
2017-01-18,0.010661422033001028,0.008838375432814332,0.0069659836294132,0.005158561736027214,0.007415793414114386
2017-01-19,0.010294074008365012,0.008846194408372683,0.006769319014343588,0.005031136601689873,0.007502816056253518
2017-01-20,0.009980743278337291,0.008754471438787997,0.00653881866038103,0.0051193419985543906,0.007499582285613241
2017-01-23,0.009684291736225236,0.008671063914625987,0.006384942430809452,0.005175835935435315,0.0074574617976664506
2017-01-24,0.009357130625015081,0.008641800800800799,0.006175218062073592,0.0050752178128676,0.007495331058127667
2017-01-25,0.009030428059755697,0.008580601484043486,0.006612600384796361,0.005676278003647565,0.0074921142735538595
2017-01-26,0.011143993914459556,0.00859739150721175,0.007538009377634986,0.006634788272184328,0.007565677036188965
2017-01-27,0.010630461830648988,0.008640912488947074,0.00719842009090696,0.006141766403149344,0.007533120422232003
2017-01-30,0.010178456853495763,0.008555316978869956,0.006933607625116154,0.005772114117293816,0.00750108994305881
2017-01-31,0.009835340472278806,0.008491877492744307,0.007345633512169376,0.00610933713601409,0.007465184158661289
2017-02-01,0.009498379820379182,0.008695928292956732,0.00706552198701002,0.005703930886004546,0.007463004191312632
2017-02-02,0.025443907512081396,0.008618378492041882,0.007297066833188415,0.005373725399737493,0.007452488247286146
2017-02-03,0.022825450587006607,0.008574864610508747,0.006987086182672685,0.005104214687308325,0.007406729389762195
2017-02-06,0.02085319697683336,0.008492971896482706,0.006799589259956322,0.005786661390144162,0.0073589223339377285
2017-02-07,0.019549124827580363,0.008681298828042945,0.006549289357998486,0.005493778685324148,0.007347240451692021
2017-02-08,0.018471922316849007,0.008596515404003326,0.006475256033904617,0.005192287464542114,0.007350701620382561
2017-02-09,0.01726651092806235,0.008565427780818254,0.006264899042492717,0.004975150555047942,0.007446860589396897
2017-02-10,0.016375086837359918,0.008566259937275727,0.0062189475713525745,0.005468873368120678,0.0075052946669089135
2017-02-13,0.015402915411266196,0.008486378619193097,0.006141755281989942,0.0054634880150754165,0.00746368184773956
2017-02-14,0.01486787121926248,0.00847200341723766,0.006358561251075261,0.005710802125752693,0.007429232417483675
2017-02-15,0.014821209765015757,0.008381924958902859,0.006260612514717275,0.005655634684858913,0.007430281640667022
2017-02-16,0.014067123531667298,0.00832411645584861,0.00648386961525512,0.005808791377478839,0.007405835331277452
2017-02-17,0.013328754687557015,0.00828329884120128,0.0062136088904127095,0.005459735117903709,0.007388313095559135
2017-02-21,0.012694643231801875,0.00821032063772037,0.006228367527543215,0.00520594696068035,0.007375379335532622
2017-02-22,0.012417050483252227,0.008112385908326681,0.006310889973384101,0.005618350716898891,0.007332515703221484
2017-02-23,0.011905362659199233,0.008014203958764789,0.0060490921027193416,0.005301926220734689,0.007287850978488088
