,VaR,ES
2016-12-28,0.009300386555648459,0.010734810318550832
2016-12-29,0.009651648071498388,0.011137238174483362
2016-12-30,0.00938024412042715,0.010826300297167255
2017-01-03,0.009704876947472067,0.011198220609123137
2017-01-04,0.009980772090552053,0.011514303885775942
2017-01-05,0.00983693320966444,0.011349512783353931
2017-01-06,0.009731917966145372,0.011229200544800401
2017-01-09,0.010056234576937238,0.011600758579014533
2017-01-10,0.009977703918398922,0.011510788789799008
2017-01-11,0.009616886046115108,0.011097412555360198
2017-01-12,0.00948127277770772,0.010942045245311623
2017-01-13,0.009317966472987535,0.010754951006109835
2017-01-17,0.009105604960753843,0.010511655956141121
2017-01-18,0.009217048100988163,0.01063933240789921
2017-01-19,0.009019587446126439,0.01041310874153837
2017-01-20,0.00882368334613806,0.010188668364869277
2017-01-23,0.008687420572626777,0.010032556939867645
2017-01-24,0.008471579361749835,0.009785275322623247
2017-01-25,0.008589082742155883,0.00991989477652845
2017-01-26,0.009872531731209595,0.011390296746450831
2017-01-27,0.009312157576149997,0.010748295959103031
2017-01-30,0.008964400768680485,0.010349883323214707
2017-01-31,0.009091476403590372,0.010495469369480872
2017-02-01,0.00882265244374437,0.010187487296573294
2017-02-02,0.014861653664299859,0.017106156730888344
2017-02-03,0.013595475102221883,0.01565554087639642
2017-02-06,0.012927577119731854,0.014890353854912528
2017-02-07,0.012273078739699189,0.014140518282545448
2017-02-08,0.011751540231129433,0.013543010117490316
2017-02-09,0.011209177179444614,0.01292164401224412
2017-02-10,0.011014753211755622,0.01269889937063526
2017-02-13,0.010698642835189329,0.012336742927815754
2017-02-14,0.010599980557977508,0.012223709057356863
2017-02-15,0.010576809439364813,0.012197162728874786
2017-02-16,0.010398895106064994,0.011993332589622924
2017-02-17,0.009968895691094578,0.01150069751629278
2017-02-21,0.009695998458381183,0.011188048839180962
2017-02-22,0.009700967018288036,0.011193741141981482
2017-02-23,0.00931459275230585,0.010751085854024614
2017-02-24,0.009090244778810746,0.010494058340668968
2017-02-27,0.008851611136168423,0.010220664243027628
2017-02-28,0.008658970157461502,0.00999996230863499
2017-03-01,0.00847334511773991,0.009787298286611963
2017-03-02,0.010622817060327893,0.01224987202785942
2017-03-03,0.01048314154808755,0.012089850749180049
2017-03-06,0.010055390113110418,0.011599791106769765
2017-03-07,0.009715320548373131,0.011210185472135984
2017-03-08,0.009398852413292115,0.010847619158079453
2017-03-09,0.009134288294433555,0.010544517433851808
2017-03-10,0.008901190527293365,0.010277465592360117
2017-03-13,0.008788143988558272,0.010147952183828357
