,portfolio_vol
2016-12-28,0.004233007433589924
2016-12-29,0.00438400012035426
2016-12-30,0.004267334872607022
2017-01-03,0.004406880995810441
2017-01-04,0.004525476819830844
2017-01-05,0.00446364647945369
2017-01-06,0.004418504802797801
2017-01-09,0.004557914997812415
2017-01-10,0.004524157940488951
2017-01-11,0.004369057374356906
2017-01-12,0.0043107628819808235
2017-01-13,0.00424056430740714
2017-01-17,0.00414927894350977
2017-01-18,0.004197183705079563
2017-01-19,0.0041123035987699515
2017-01-20,0.004028092590530631
2017-01-23,0.00396951890297865
2017-01-24,0.0038767377616517394
2017-01-25,0.00392724756790954
2017-01-26,0.004478948800289878
2017-01-27,0.004238067304743714
2017-01-30,0.004088581146052639
2017-01-31,0.004143205665595865
2017-02-01,0.004027649448554663
2017-02-02,0.006623564396591137
2017-02-03,0.0060792870010188925
2017-02-06,0.00579218549313912
2017-02-07,0.005510843915924441
2017-02-08,0.005286656246320303
2017-02-09,0.005053516973498333
2017-02-10,0.004969942212449685
2017-02-13,0.004834059535532061
2017-02-14,0.004791648734330414
2017-02-15,0.00478168843610019
2017-02-16,0.004705210478832869
2017-02-17,0.004520371650655588
2017-02-21,0.004403064503363221
2017-02-22,0.00440520028020137
2017-02-23,0.004239114085486622
2017-02-24,0.004142676241431333
2017-02-27,0.0040400975835680015
2017-02-28,0.003957289255176296
2017-03-01,0.0038774967865636105
2017-03-02,0.004801465194974677
2017-03-03,0.004741424513269697
2017-03-06,0.004557551998006477
2017-03-07,0.004411370264598485
2017-03-08,0.0042753338022050455
2017-03-09,0.004161608713274551
2017-03-10,0.00406140969758078
2017-03-13,0.004012815701817484
2017-03-14,0.003897648402743669
2017-03-15,0.003811455332919218
2017-03-16,0.004172916853608944
2017-03-17,0.004038390417594146
2017-03-20,0.0039458929431949044
2017-03-21,0.0039749327843451605
2017-03-22,0.0047094734357003435
2017-03-23,0.004712993439327391
2017-03-24,0.004515937071460631
2017-03-27,0.004277470209313201
2017-03-28,0.00413687031687653
2017-03-29,0.004606192375175277
2017-03-30,0.00443280190513151
2017-03-31,0.0042865892999639265
2017-04-03,0.004149098210279102
2017-04-04,0.0040263536593063394
