Date,AAPL,GLD,QQQ,SPY,TLT
2015-01-05,-0.0285757629186163,0.014964618775983318,-0.014777117077819923,-0.018224754955493694,0.015586360354862272
2015-01-06,9.392675291053365e-05,0.011334482171420746,-0.013499111151828558,-0.00946350647232741,0.017856906098686842
2015-01-07,0.013924799221825879,-0.005908836993975264,0.012808425960112224,0.012384306497581044,-0.0019766706992934147
2015-01-08,0.037702414301624465,-0.004217399700950253,0.018958840207671024,0.01758913679433416,-0.013331397146010282
2015-01-09,0.0010722427591129957,0.011320872784881253,-0.0066042409685378445,-0.00804587277841673,0.010893159542088249
2015-01-12,-0.024949741913216972,0.011025431201653113,-0.010481818616264071,-0.007864378756859303,0.00570514476445716
2015-01-13,0.008839897907017669,-0.0033794717396933294,-0.0002954949044955413,-0.0028165016947907517,0.0
2015-01-14,-0.0038180177625650735,-0.0016093040146012427,-0.005531500798601208,-0.006055789294558522,0.0075577107330833115
2015-01-15,-0.027515256367801832,0.024864209830663953,-0.013060287218801925,-0.009202630429853365,0.01561362080898654
2015-01-16,-0.007800413815742591,0.012979679533520638,0.011672987732559648,0.013028874609364749,-0.012831582950671105
2015-01-20,0.025430807685668633,0.013618890362550928,0.007903199309324371,0.0021304263264632084,0.013201702628443002
2015-01-21,0.007605758239991989,0.00024156831945010282,0.005103928700103566,0.0050356969429588005,-0.011626181771110744
2015-01-22,0.02568261135526484,0.00801736013457699,0.018335172220101725,0.014761204735031619,-0.003605274468413633
2015-01-23,0.005146907553993163,-0.00801736013457699,0.002208447972953387,-0.005497588715156709,0.013822872555733667
2015-01-26,0.0010616750900993566,-0.010031679362329626,-0.0011516701741021151,0.002338691173841667,-0.003047259989929607
2015-01-27,-0.03564076445488906,0.011399158685806654,-0.02626885467093487,-0.013278540219398671,0.0015621170616988422
2015-01-28,0.054992463161599225,-0.007909034514029578,-0.00513891113977305,-0.012906673557100845,0.016215833530833557
2015-01-29,0.03065866806176798,-0.021788035528434335,0.009565674263296131,0.009200944256740229,-0.006602163664868321
2015-01-30,-0.014742596610899383,0.022031068542068155,-0.007783817700225626,-0.012654977075904128,0.017582026680273977
2015-02-02,0.01246906655433655,-0.008378450604819676,0.008666904875410886,0.012308227742761524,-0.0037826409833918717
2015-02-03,0.00016867832163125485,-0.011254031870982395,0.009563371194365011,0.014357597307847136,-0.021393645581006204
2015-02-04,0.007640098023053543,0.00436878878628022,-0.0008744368215456433,-0.0038148850509642784,0.0017077996433929599
