Date,AAPL,GLD,QQQ,SPY,TLT
2015-01-05,0.020132137155827404,0.0112881656247552,0.01104949765095438,0.010274515306774184,0.011312205077842126
2015-01-06,0.021062057247134967,0.01142797897261857,0.011672748761164285,0.011982645206870403,0.011606051680082854
2015-01-07,0.02005122100589742,0.011396885602171822,0.011998239555182059,0.011661553346304285,0.012070914595557427
2015-01-08,0.01957165629207474,0.011205818786045698,0.012179417780978951,0.011831806451725492,0.011662887431173925
2015-01-09,0.021905179195493868,0.010991316999708355,0.01330264975448051,0.012982992246100717,0.011748768910860099
2015-01-12,0.020841657409102234,0.010981659936220413,0.012715780149708653,0.012359664619762279,0.011669052358277728
2015-01-13,0.021248192216103877,0.010960767537267713,0.012523933333329445,0.011796057362434489,0.011358503569312183
2015-01-14,0.020403201567668727,0.010742986063246258,0.011777146871017606,0.010913146549278883,0.010970700182967131
2015-01-15,0.019470602813256327,0.010516032651757289,0.011261511908795603,0.010346875288588265,0.01076828848710828
2015-01-16,0.020366604547805162,0.011401954997499209,0.011588314459688947,0.010237405857166228,0.011120081110275171
2015-01-20,0.01954642240608239,0.011440483032117919,0.011679534967302334,0.010802188277432368,0.01121526267494892
2015-01-21,0.020179452606632658,0.01150571549141965,0.011352670865584745,0.009992773613737507,0.011329380044490531
2015-01-22,0.019365827518071945,0.011250546856135081,0.010849913289145014,0.009445321868004626,0.011325468251356014
2015-01-23,0.020053817530524657,0.011116337958786643,0.012141825225770604,0.010559416937819789,0.010976472261088737
2015-01-26,0.01917385479625006,0.010987600803294539,0.011451071668904057,0.009984700570938936,0.011158667680418826
2015-01-27,0.018291778465691,0.010929166687879974,0.010794805686184955,0.009266265264927284,0.010806684272049987
2015-01-28,0.020560610769181663,0.010925873471104046,0.01383252876875258,0.01009880125198932,0.010450373712664773
2015-01-29,0.025759838726962175,0.010801869648355588,0.013114431002645302,0.01066916604660007,0.01089191067330639
2015-01-30,0.026167158112466525,0.011410009000333309,0.012785021166521549,0.010508890745777955,0.01065423161805883
2015-02-02,0.0252310556344926,0.011975315592347404,0.012333805444014516,0.010946285510045919,0.0112035684661601
2015-02-03,0.024250516253201234,0.011822052950248739,0.012005327299812976,0.011235285648949904,0.010864101197903176
2015-02-04,0.02303349330326188,0.011768753059375782,0.011801090871624818,0.011849357162212793,0.01179217046312389
2015-02-05,0.022017448963678198,0.011537753006053118,0.011114061064564654,0.011009831188678092,0.011393649454278107
2015-02-06,0.021055604007598063,0.011286648023183165,0.010917154779487665,0.01091828183119331,0.011348012217379211
2015-02-09,0.020209708490717505,0.012190122397456071,0.010521540851002405,0.010122270342304125,0.011842428066700255
2015-02-10,0.01936040581945167,0.011946559887430019,0.009996640922474785,0.009515010687416264,0.011440774172808334
2015-02-11,0.01934977831734319,0.011735661476324218,0.010935181761355502,0.009773416942704744,0.011229797080644935
2015-02-12,0.019754114459823748,0.011710925516315142,0.01039278322437416,0.009031004796759928,0.010857521884247717
2015-02-13,0.019214921681615905,0.011458431473005504,0.010644825974791272,0.00920338146667393,0.010524569291162598
2015-02-17,0.018387550912474605,0.011255942503012938,0.01049647721149342,0.00867359234027587,0.010498212622775824
2015-02-18,0.017647250307365577,0.01149925186865564,0.009913718628219883,0.008063458070179531,0.010839301812663626
2015-02-19,0.016998606289608725,0.011258152528551111,0.009385838953940327,0.007491484368360405,0.010579204667482585
2015-02-20,0.016276263016648276,0.011031436690696514,0.009060476481020876,0.006985619788871492,0.010360367865493941
2015-02-23,0.01578830150816074,0.010849426078705968,0.008912328107113333,0.00695778164069338,0.010043362242971024
2015-02-24,0.017178015601363106,0.010617466158659,0.008462192859213354,0.006503970398745843,0.010125979633746335
2015-02-25,0.016540583250339462,0.010393702403904472,0.00804718821924634,0.0062061007388367504,0.010325279409221799
2015-02-26,0.017691816962430204,0.010200651765754904,0.007715386705913011,0.0058463871483116795,0.010041344963784268
2015-02-27,0.017336204019514422,0.01000579863321172,0.007580068725643862,0.005539048930697217,0.01030793335675362
2015-03-02,0.017206153553823406,0.009798458344703841,0.007408278003617692,0.0054245781388207815,0.010185591696077589
2015-03-03,0.01652387571447076,0.009631306252108854,0.0077753738648547776,0.005736335208774744,0.010922281455247389
2015-03-04,0.015835392699391226,0.009441601283595316,0.007601354625173315,0.005668314348687614,0.010592854197167352
2015-03-05,0.015306449611676855,0.009271744296465165,0.007387917542433251,0.005624526542905041,0.010238913197724494
2015-03-06,0.015548338846173428,0.009088879746674258,0.007091897916683503,0.005341402715113851,0.009905467567350444
2015-03-09,0.014924447545856286,0.010452560646738294,0.007915446233212763,0.007629176497605091,0.011102617025641373
2015-03-10,0.014397923077310616,0.01023173135407402,0.007613778651116832,0.007294924421232476,0.010971230770532463
2015-03-11,0.015243218727136756,0.010063082571665147,0.009872327477338214,0.009463577788343733,0.011096757552261107
2015-03-12,0.015669393095997148,0.009924404547403965,0.0095596562833891,0.00879961932413122,0.010874182279049403
2015-03-13,0.01598824689340901,0.009718614207675069,0.00934328461902386,0.009605628169294729,0.010509046669047815
2015-03-16,0.015470021393247393,0.009523544979887204,0.008984424364750006,0.009215119740725822,0.01018775746880219
2015-03-17,0.015213896138389655,0.009331345051973187,0.009669624618674162,0.010058426751475322,0.010140974422286517
2015-03-18,0.015455265006614453,0.009207166735506816,0.009166062979387362,0.009361732257451731,0.010023202864173067
2015-03-19,0.015217356178532614,0.009804171414060673,0.009359632426767198,0.009901829641561161,0.010817493007914476
2015-03-20,0.014791692739816809,0.009603113952221423,0.008879887930768823,0.00932676174097531,0.010531722358182394
