,VaR_param,VaR_hist,ES_param,ES_hist
2016-12-28,0.008910935250141727,0.015555058300026,0.01028463785378938,0.01865869300891584
2016-12-29,0.009143976601429236,0.015555058300026,0.010551625061640294,0.01865869300891584
2016-12-30,0.00892504101597494,0.015555058300026,0.010300798329231193,0.01865869300891584
2017-01-03,0.009129873449244576,0.015555058300026,0.010535467580562896,0.01865869300891584
2017-01-04,0.009376622930613454,0.015555058300026,0.01081815970668287,0.01865869300891584
2017-01-05,0.009273453483097441,0.014365083371196557,0.010699962131121104,0.0178953484946429
2017-01-06,0.009319393096647973,0.014365083371196557,0.010752593516426085,0.0178953484946429
2017-01-09,0.009522739354446473,0.014365083371196557,0.010985560109250092,0.0178953484946429
2017-01-10,0.00943260193498067,0.014365083371196557,0.010882292865848422,0.0178953484946429
2017-01-11,0.009138776459598865,0.013685895077780556,0.010545667443646538,0.0178953484946429
2017-01-12,0.008998496926618442,0.013685895077780556,0.010384954159835947,0.0178953484946429
2017-01-13,0.008841994684509675,0.013685895077780556,0.01020565509375957,0.0178953484946429
2017-01-17,0.008658473297004258,0.013685895077780556,0.009995401151442925,0.0178953484946429
2017-01-18,0.008769667293088852,0.013685895077780556,0.01012279216758832,0.0178953484946429
2017-01-19,0.008710125973350672,0.013685895077780556,0.010054577790093385,0.0178953484946429
2017-01-20,0.00854988865278199,0.013685895077780556,0.009870999577146261,0.0178953484946429
2017-01-23,0.008423217286650771,0.013685895077780556,0.00972587668727634,0.0178953484946429
2017-01-24,0.008313718220748894,0.013685895077780556,0.009600427492505077,0.0178953484946429
2017-01-25,0.008413767245080906,0.0122747864067836,0.00971505010993771,0.01550369380535687
2017-01-26,0.009293753311196532,0.0122747864067836,0.010723218923935282,0.01550369380535687
2017-01-27,0.008894236596794652,0.0122747864067836,0.01026550679911872,0.01550369380535687
2017-01-30,0.008648442758455601,0.0122747864067836,0.009983909519311756,0.01550369380535687
2017-01-31,0.008787219930965984,0.0122747864067836,0.01014290160203565,0.01550369380535687
2017-02-01,0.008644334596169728,0.0122747864067836,0.00997920294353864,0.01550369380535687
2017-02-02,0.012547952461620528,0.0122747864067836,0.014451439431422037,0.01550369380535687
2017-02-03,0.011992368760009434,0.011082315966845363,0.013814926896624648,0.015040265053544416
2017-02-06,0.011739225252402249,0.011082315966845363,0.013524909361503827,0.015040265053544416
2017-02-07,0.011401611709501751,0.011082315966845363,0.013138117503948676,0.015040265053544416
2017-02-08,0.011101291248439095,0.011082315966845363,0.01279405100709467,0.015040265053544416
2017-02-09,0.010824555336420707,0.011082315966845363,0.01247700449129966,0.015040265053544416
2017-02-10,0.01076545219459161,0.011082315966845363,0.012409292118688593,0.015040265053544416
2017-02-13,0.010542200181239436,0.011082315966845363,0.012153520207983973,0.015040265053544416
2017-02-14,0.010458585394845977,0.011082315966845363,0.012057725713869932,0.015040265053544416
2017-02-15,0.010435634485105962,0.011082315966845363,0.012031431670880256,0.015040265053544416
2017-02-16,0.010300589928049645,0.011082315966845363,0.0118767159132487,0.015040265053544416
2017-02-17,0.009965966074966305,0.011082315966845363,0.011493349237242717,0.015040265053544416
2017-02-21,0.00974446207466329,0.011082315966845363,0.01123957996306893,0.015040265053544416
2017-02-22,0.009700373576682792,0.011082315966845363,0.011189069335194859,0.015040265053544416
2017-02-23,0.00936210572372416,0.011082315966845363,0.010801527857821059,0.015040265053544416
2017-02-24,0.009148849160345494,0.011082315966845363,0.01055720737951201,0.015040265053544416
2017-02-27,0.008998689920804945,0.011082315966845363,0.01038517526642798,0.015040265053544416
2017-02-28,0.00883486616984258,0.011082315966845363,0.010197488207425547,0.015040265053544416
2017-03-01,0.008654455707903871,0.011082315966845363,0.009990798342154881,0.015040265053544416
2017-03-02,0.010259639071668313,0.011082315966845363,0.01182979997003111,0.015040265053544416
2017-03-03,0.01021462555662064,0.011082315966845363,0.011778229582922831,0.015040265053544416
2017-03-06,0.009881838196780764,0.011082315966845363,0.011396966912067007,0.015040265053544416
2017-03-07,0.009626470676245814,0.011082315966845363,0.011104401404242941,0.015040265053544416
2017-03-08,0.009370911991884468,0.011082315966845363,0.010811616886805472,0.015040265053544416
2017-03-09,0.009147769567600961,0.011082315966845363,0.010555970528408603,0.015040265053544416
2017-03-10,0.008979531372690868,0.011082315966845363,0.01036322599759996,0.015040265053544416
2017-03-13,0.008858329764626192,0.011082315966845363,0.010224369615479578,0.015040265053544416
2017-03-14,0.008647800316805327,0.011082315966845363,0.009983173496706901,0.015040265053544416
2017-03-15,0.00847628189298508,0.011082315966845363,0.009786670924018583,0.015040265053544416
2017-03-16,0.009179942749599383,0.011082315966845363,0.010592830201518036,0.015040265053544416
2017-03-17,0.008942869038224516,0.011082315966845363,0.010321223261783382,0.015040265053544416
