Date,AAPL,GLD,QQQ,SPY,TLT
2015-01-02,24.237546920776367,114.08000183105469,94.78443145751953,170.58961486816406,94.76043701171875
2015-01-05,23.55474281311035,115.80000305175781,93.39408874511719,167.50881958007812,96.24897766113281
2015-01-06,23.556955337524414,117.12000274658203,92.1418228149414,165.9310760498047,97.98312377929688
2015-01-07,23.88727569580078,116.43000030517578,93.32960510253906,167.99879455566406,97.78963470458984
2015-01-08,24.805076599121094,115.94000244140625,95.11590576171875,170.97988891601562,96.49461364746094
2015-01-09,24.831687927246094,117.26000213623047,94.48980712890625,169.60972595214844,97.5514907836914
2015-01-12,24.21980857849121,118.55999755859375,93.50455474853516,168.2810821533203,98.10962677001953
2015-01-13,24.434858322143555,118.16000366210938,93.4769287109375,167.8077850341797,98.10962677001953
2015-01-14,24.34174346923828,117.97000122070312,92.96128845214844,166.79464721679688,98.85391998291016
2015-01-15,23.68110466003418,120.94000244140625,91.75508117675781,165.26673889160156,100.40950012207031
2015-01-16,23.497100830078125,122.5199966430664,92.83241271972656,167.43406677246094,99.12931823730469
2015-01-20,24.102313995361328,124.19999694824219,93.5689926147461,167.79115295410156,100.44667053222656
2015-01-21,24.28632926940918,124.2300033569336,94.04778289794922,168.6382293701172,99.2856216430664
2015-01-22,24.91814422607422,125.2300033569336,95.78807067871094,171.14599609375,98.92831420898438
2015-01-23,25.04672622680664,124.2300033569336,95.99984741210938,170.2076873779297,100.30528259277344
2015-01-26,25.073331832885742,122.98999786376953,95.88935089111328,170.60621643066406,100.00009155273438
2015-01-27,24.195436477661133,124.4000015258789,93.40324401855469,168.3557891845703,100.15642547607422
2015-01-28,25.563268661499023,123.41999816894531,92.92448425292969,166.19683837890625,101.79378509521484
2015-01-29,26.359142303466797,120.76000213623047,93.81763458251953,167.73306274414062,101.12393951416016
2015-01-30,25.973390579223633,123.44999694824219,93.0902099609375,165.623779296875,102.9176254272461
2015-02-02,26.29928207397461,122.41999816894531,93.90052032470703,167.67491149902344,102.52906036376953
2015-02-03,26.30371856689453,121.05000305175781,94.8028335571289,170.0996856689453,100.35888671875
2015-02-04,26.505451202392578,121.58000183105469,94.719970703125,169.45201110839844,100.53042602539062
2015-02-05,26.69463348388672,121.79000091552734,95.5394515991211,171.1625518798828,99.42669677734375
2015-02-06,26.4698486328125,118.63999938964844,94.95936584472656,170.68931579589844,97.66668701171875
2015-02-09,26.64566993713379,119.16999816894531,94.65552520751953,169.92530822753906,97.51004791259766
2015-02-10,27.157581329345703,118.47000122070312,96.12875366210938,171.73556518554688,96.73448181152344
2015-02-11,27.794118881225586,117.06999969482422,96.4786376953125,171.83522033691406,96.91338348388672
2015-02-12,28.145774841308594,117.33999633789062,97.60198974609375,173.48776245117188,96.59276580810547
2015-02-13,28.28376007080078,117.9800033569336,98.43991088867188,174.20184326171875,95.6008529663086
2015-02-17,28.4506893157959,116.01000213623047,98.531982421875,174.4759063720703,94.16150665283203
2015-02-18,28.648773193359375,116.33999633789062,98.67008972167969,174.49253845214844,94.72085571289062
2015-02-19,28.588674545288086,115.94000244140625,99.15811157226562,174.36790466308594,94.0943832397461
2015-02-20,28.822385787963867,115.27999877929688,99.8210678100586,175.41424560546875,94.37029266357422
2015-02-23,29.601364135742188,115.43000030517578,99.92236328125,175.3893585205078,95.45167541503906
2015-02-24,29.41663360595703,115.26000213623047,99.99601745605469,175.88758850097656,96.70453643798828
2015-02-25,28.664358139038086,115.69999694824219,99.74739837646484,175.73812866210938,97.12223052978516
2015-02-26,29.02713394165039,116.06999969482422,100.25382232666016,175.53053283691406,95.79473114013672
2015-02-27,28.590911865234375,116.16000366210938,99.81185150146484,174.9326171875,96.60017395019531
2015-03-02,28.73111343383789,115.68000030517578,100.71418762207031,176.03707885742188,94.80086517333984
2015-03-03,28.791217803955078,115.47000122070312,100.2446060180664,175.31463623046875,94.45714569091797
2015-03-04,28.60870933532715,115.11000061035156,99.8578872680664,174.57554626464844,94.48699951171875
2015-03-05,28.1346435546875,115.0,100.03285217285156,174.7665557861328,94.36753845214844
2015-03-06,28.176931381225586,111.86000061035156,98.9002914428711,172.3085479736328,92.2826919555664
2015-03-09,28.297119140625,111.97000122070312,99.18571472167969,173.0226593017578,93.13455200195312
2015-03-10,27.711769104003906,111.41999816894531,97.34416961669922,170.21591186523438,94.35999298095703
2015-03-11,27.206541061401367,110.75,96.78251647949219,169.81732177734375,95.04745483398438
2015-03-12,27.698408126831055,110.72000122070312,97.41783905029297,171.9763641357422,94.98019409179688
2015-03-13,27.506999969482422,110.87999725341797,96.9942855834961,170.9217987060547,94.68878936767578
2015-03-16,27.80970001220703,110.80999755859375,98.24652862548828,173.2053985595703,95.60037231445312
2015-03-17,28.274866104125977,110.20999908447266,98.403076171875,172.69053649902344,96.3924789428711
2015-03-18,28.59312629699707,112.37000274658203,99.36988830566406,174.7665557861328,98.25305938720703
2015-03-19,28.37724494934082,112.29000091552734,99.5172119140625,173.96929931640625,97.75241088867188
2015-03-20,28.021141052246094,113.56999969482422,100.16136932373047,175.50498962402344,98.2679443359375
2015-03-23,28.31269645690918,114.29000091552734,99.96756744384766,175.16299438476562,98.1484146118164
2015-03-24,28.196962356567383,114.56999969482422,99.60765838623047,174.17874145507812,99.09738159179688
2015-03-25,27.46027183532715,114.7300033569336,97.3281021118164,171.6263427734375,98.26053619384766
2015-03-26,27.65167236328125,115.4800033569336,96.9958724975586,171.21763610839844,96.72872161865234
2015-03-27,27.431337356567383,115.05999755859375,97.38346862792969,171.6096954345703,97.93170928955078
